Gene Symbol	SPOT	Profile	6d-average	7d-average	8d-average
Zm00001d028539	851	3	0	0.14	-1.46
Zm00001d028547	857	4	0	0.44	3.3
Zm00001d028548	858	4	0	1.03	3.92
Zm00001d022715	863	4	0	-0.48	1.45
Zm00001d028557	865	6	0	2.33	1.96
Zm00001d028561	868	3	0	0.33	-2.16
Zm00001d028562	869	5	0	1.56	0.04
Zm00001d028563	870	1	0	-5.3	-5.3
Zm00001d028565	871	4	0	-0.18	1.81
Zm00001d028567	873	5	0	2.17	-1.59
Zm00001d028577	882	3	0	0.35	-2.08
Zm00001d028584	884	6	0	6.11	5.5
Zm00001d028588	887	6	0	2.02	1.2
Zm00001d028591	889	0	0	-1.02	-3.08
Zm00001d028596	891	4	0	-0.05	1.03
Zm00001d028598	893	5	0	1.25	-0.08
Zm00001d028601	894	4	0	-0.08	3.04
Zm00001d022716	895	4	0	0	5.73
Zm00001d022717	896	4	0	0	5.58
Zm00001d028604	898	5	0	4.95	0
Zm00001d028605	899	5	0	6.75	0
Zm00001d022718	900	4	0	0	6.2
Zm00001d028609	903	0	0	-0.99	-2.12
Zm00001d028615	907	0	0	-0.73	-2.59
Zm00001d028616	908	3	0	0.13	-2.98
Zm00001d028618	909	2	0	-4.36	0.56
Zm00001d022720	912	2	0	-7.46	-0.77
Zm00001d028630	915	4	0	0.31	1.36
Zm00001d028639	917	3	0	0.99	-1.32
Zm00001d028647	921	6	0	2.33	1.42
Zm00001d028649	922	3	0	0.13	-1.26
Zm00001d028650	923	7	0	3.95	6.24
Zm00001d028651	924	5	0	1.26	0.19
Zm00001d028657	929	5	0	1.56	-0.21
Zm00001d028664	933	3	0	2.12	-6.63
Zm00001d028667	935	1	0	-5.58	-5.58
Zm00001d028670	938	2	0	-2.43	0.59
Zm00001d028671	939	4	0	-0.09	0.96
Zm00001d028675	941	5	0	2.3	0.29
Zm00001d028676	942	3	0	-0.04	-1.17
Zm00001d028678	943	3	0	-0.49	-6.75
Zm00001d028679	944	5	0	0.7	-0.35
Zm00001d028686	947	5	0	0.86	-0.6
Zm00001d028693	952	5	0	1.99	-1.25
Zm00001d028694	953	3	0	1.54	-6.23
Zm00001d028708	964	3	0	0.49	-1.88
Zm00001d028711	966	3	0	0.23	-1.3
Zm00001d028714	969	2	0	-0.73	0.46
Zm00001d028720	972	3	0	1.06	-6.73
Zm00001d028721	973	3	0	0	-1.8
Zm00001d028732	980	5	0	6.03	0
Zm00001d028733	981	3	0	0.3	-2.03
Zm00001d028735	982	2	0	-0.9	0.36
Zm00001d028737	984	3	0	0.38	-0.83
Zm00001d028740	985	2	0	-1.2	0.42
Zm00001d028745	988	5	0	1.26	0.58
Zm00001d028746	989	3	0	1.89	-4.36
Zm00001d028750	992	7	0	2.87	4.02
Zm00001d028752	993	3	0	0.12	-1.54
Zm00001d028761	1000	4	0	-0.38	0.71
Zm00001d028763	1002	6	0	4.94	5.03
Zm00001d028766	1003	1	0	-5.09	-5.09
Zm00001d028769	1005	3	0	2.12	-7.62
Zm00001d028770	1006	7	0	1.26	2.18
Zm00001d028776	1011	2	0	-1.25	-0.33
Zm00001d028777	1012	6	0	1.82	2.03
Zm00001d028788	1022	3	0	-1.1	-6.03
Zm00001d028789	1023	0	0	-3.57	-7.49
Zm00001d028793	1024	5	0	1.08	0.28
Zm00001d028795	1025	1	0	-5.36	-5.36
Zm00001d028796	1026	3	0	0.55	-1.24
Zm00001d028797	1027	6	0	5.99	4
Zm00001d028798	1028	4	0	0	5.54
Zm00001d028803	1032	0	0	-0.69	-1.22
Zm00001d028806	1034	3	0	-0.24	-2.53
Zm00001d028808	1036	5	0	1.7	-1.04
Zm00001d028809	1037	3	0	-0.06	-1.46
Zm00001d028814	1042	6	0	1.14	0.77
Zm00001d028815	1043	7	0	1.79	3.6
Zm00001d028816	1044	7	0	6.03	10.76
Zm00001d028819	1046	3	0	0.39	-1.55
Zm00001d028829	1052	3	0	0.34	-1.33
Zm00001d028854	1061	6	0	3.93	5.03
Zm00001d028859	1062	1	0	-5.03	-5.03
Zm00001d028862	1064	5	0	5.75	0
Zm00001d028867	1067	4	0	-0.14	2.8
Zm00001d028870	1069	0	0	-2.26	-3.22
Zm00001d028873	1070	6	0	4.8	4.62
Zm00001d028874	1071	5	0	6.19	0
Zm00001d028876	1073	1	0	-5.3	-5.3
Zm00001d028886	1076	6	0	1.27	1.63
Zm00001d028899	1084	6	0	1.08	0.7
Zm00001d028900	1085	3	0	-1.41	-5.36
Zm00001d028906	1091	0	0	-1.9	-3.09
Zm00001d028912	1095	3	0	-1.1	-5.03
Zm00001d022725	1096	4	0	0.04	1.09
Zm00001d028925	1106	6	0	1.87	1.26
Zm00001d028928	1108	5	0	1.12	0.07
Zm00001d028930	1110	0	0	-0.62	-1.31
Zm00001d028931	1111	2	0	-4.24	-0.33
Zm00001d028941	1115	3	0	-0.9	-8.23
Zm00001d028947	1117	3	0	0.14	-1.36
Zm00001d028948	1118	2	0	-0.83	0.21
Zm00001d028949	1119	6	0	1.6	1.34
Zm00001d028950	1120	5	0	0.57	-0.44
Zm00001d028952	1122	3	0	0.65	-0.67
Zm00001d028953	1123	4	0	0.49	2.64
Zm00001d028956	1126	2	0	-2.36	0.13
Zm00001d028962	1130	3	0	0.66	-2.09
Zm00001d028965	1133	2	0	-1.04	-0.45
Zm00001d028967	1135	3	0	0.46	-1.7
Zm00001d028972	1138	4	0	-0.91	1.09
Zm00001d028974	1140	6	0	1.34	1.67
Zm00001d028986	1146	4	0	0	5.36
Zm00001d028988	1148	3	0	-0.21	-3.36
Zm00001d028992	1150	5	0	0.96	-0.16
Zm00001d028996	1153	1	0	-4.77	-4.77
Zm00001d028999	1155	6	0	9.75	8.24
Zm00001d029002	1156	2	0	-5.77	0.24
Zm00001d029010	1160	5	0	0.93	-0.21
Zm00001d029015	1164	4	0	0.17	1.97
Zm00001d022735	1165	2	0	-1.01	0.72
Zm00001d029038	1177	5	0	5.64	0
